timestamp,timestamp_last_signal,channel_count,rssi,rc_lost_frame_count,rc_total_frame_count,rc_ppm_frame_length,values[0],values[1],values[2],values[3],values[4],values[5],values[6],values[7],values[8],values[9],values[10],values[11],values[12],values[13],values[14],values[15],values[16],values[17],rc_failsafe,rc_lost,input_source
32323179747,32323179747,18,40,0,0,0,1565,1465,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32323390966,32323390966,18,40,0,0,0,1557,1470,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32323599003,32323599003,18,40,0,0,0,1559,1473,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32323798164,32323798164,18,40,0,0,0,1558,1474,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32323994081,32323994081,18,40,0,0,0,1554,1478,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32324198229,32324198229,18,40,0,0,0,1539,1483,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32324385410,32324385410,18,40,0,0,0,1517,1498,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32324609556,32324609556,18,40,0,0,0,1515,1505,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32324808567,32324808567,18,40,0,0,0,1515,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32325008361,32325008361,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32325206808,32325206808,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32325411746,32325411746,18,40,0,0,0,1514,1514,1648,1518,1094,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32325611781,32325611781,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32325810977,32325810977,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32326022943,32326022943,18,40,0,0,0,1514,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32326218243,32326218243,18,40,0,0,0,1515,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32326418344,32326418344,18,40,0,0,0,1518,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
32326637369,32326637369,18,40,0,0,0,1517,1514,1648,1518,1514,1094,1094,1094,1514,1514,1514,1514,944,2084,1514,1514,998,1998,0,0,4
