timestamp,magnetometer_ga[0],magnetometer_ga[1],magnetometer_ga[2]
64115078,-0.15157071,-0.12570919,0.65296626
64126267,-0.15156743,-0.10021254,0.65348524
64135068,-0.14326653,-0.11703449,0.6444496
64146309,-0.16003606,-0.11260923,0.636005
64154267,-0.12231542,-0.10021254,0.6533002
64163895,-0.1600752,-0.13373925,0.62981457
64174267,-0.17667808,-0.108594224,0.64771295
64183868,-0.16204216,-0.102249354,0.64918965
64194267,-0.17246719,-0.14270696,0.6527524
64203094,-0.15153155,-0.10457919,0.6591566
64214268,-0.1433013,-0.10416897,0.6389512
64223112,-0.1537429,-0.13181965,0.6398945
64234267,-0.16003495,-0.10411036,0.63617796
64243082,-0.13908932,-0.12978283,0.64416367
64251867,-0.1557523,-0.1469564,0.6525602
64262305,-0.15789971,-0.10213214,0.6434053
64271868,-0.13509418,-0.14194512,0.6150883
64282311,-0.1600184,-0.11691728,0.6387974
64291867,-0.13505338,-0.10806679,0.6215381
64302305,-0.13912901,-0.15516227,0.63788676
64311078,-0.15998307,-0.12553339,0.6443823
64322305,-0.15368608,-0.11499768,0.6488773
64331113,-0.13498437,-0.1380473,0.6324484
64342305,-0.15578653,-0.12984143,0.6471483
64350267,-0.14320916,-0.09596309,0.65351886
64359867,-0.1328486,-0.13181965,0.63976234
64370267,-0.13697283,-0.13199545,0.6484256
64379867,-0.17040151,-0.11499768,0.64898306
64390267,-0.13695462,-0.13205406,0.6513045
64399070,-0.14122234,-0.11476326,0.6372822
64410267,-0.13277522,-0.12780462,0.65136456
64419078,-0.13294129,-0.14427496,0.6251081
64430268,-0.1494355,-0.12373098,0.6601936
64439079,-0.15367006,-0.13205406,0.6514102
64703068,-0.14741388,-0.1553967,0.64945537
64714276,-0.15153046,-0.096080296,0.6593296
64723067,-0.11408955,-0.13379785,0.6324027
64734327,-0.1160984,-0.14468518,0.64515495
64751868,-0.16195604,-0.14078736,0.6628059
64762307,-0.16204326,-0.11074824,0.6490167
