timestamp,airspeed_timestamp_rel,distance_sensor_timestamp_rel,gps_timestamp_rel,optical_flow_timestamp_rel,vehicle_air_data_timestamp_rel,vehicle_magnetometer_timestamp_rel,visual_odometry_timestamp_rel
136416686,32767,32767,32767,32767,32767,-40,-233
136420670,32767,32767,32767,32767,32767,32767,32767
136424669,32767,32767,32767,32767,32767,32767,-213
136428669,32767,32767,32767,32767,-68,-72,32767
136432690,32767,32767,32767,32767,32767,32767,32767
136436717,32767,32767,32767,32767,-47,-64,-234
136440676,32767,32767,32767,32767,32767,32767,32767
136444670,32767,32767,32767,32767,32767,-40,-203
136448669,32767,32767,32767,32767,-55,32767,32767
136452679,32767,32767,32767,32767,32767,32767,32767
136456715,32767,32767,32767,32767,32767,-65,-234
136460676,32767,32767,32767,32767,32767,32767,32767
136464694,32767,32767,32767,32767,32767,-40,-204
136468670,32767,32767,32767,32767,32767,32767,32767
136472670,32767,32767,32767,32767,-68,32767,-194
136476707,32767,32767,32767,32767,32767,-57,32767
136480676,32767,32767,32767,32767,-46,32767,-173
136484670,32767,32767,32767,32767,32767,-40,32767
136488669,32767,32767,32767,32767,32767,32767,32767
136492685,32767,32767,32767,32767,-52,32767,-193
136496699,32767,32767,32767,32767,32767,-72,32767
136500676,32767,32767,32767,32767,32767,32767,32767
136504670,32767,32767,32767,32767,32767,-40,-212
136508670,32767,32767,32767,32767,32767,32767,32767
136512675,32767,32767,32767,32767,32767,32767,32767
136516698,32767,32767,32767,32767,-56,-72,-233
136520701,32767,32767,32767,32767,32767,32767,32767
136524680,32767,32767,32767,32767,32767,-40,-213
136528676,32767,32767,32767,32767,-66,32767,32767
136532685,32767,32767,32767,32767,32767,-40,-193
136536670,32767,32767,32767,32767,32767,32767,32767
136540688,32767,32767,32767,32767,-62,32767,32767
136544674,32767,32767,32767,32767,32767,-63,-213
136548715,32767,32767,32767,32767,32767,32767,32767
136552693,32767,32767,32767,32767,32767,-39,32767
136556670,32767,32767,32767,32767,32767,32767,-232
136560681,32767,32767,32767,32767,-45,32767,32767
136564680,32767,32767,32767,32767,32767,-64,-212
136568676,32767,32767,32767,32767,32767,32767,32767
136572670,32767,32767,32767,32767,-55,-40,-193
136576708,32767,32767,32767,32767,32767,32767,32767
136580694,32767,32767,32767,32767,32767,32767,32767
136584719,32767,32767,32767,32767,-70,-57,32767
136588676,32767,32767,32767,32767,32767,32767,-253
136592683,32767,32767,32767,32767,32767,-40,-192
136596670,32767,32767,32767,32767,32767,32767,32767
136600670,32767,32767,32767,32767,32767,32767,32767
136604734,32767,32767,32767,32767,-57,-72,-212
136608676,32767,32767,32767,32767,32767,32767,32767
136612714,32767,32767,32767,32767,32767,-41,32767
136616670,32767,32767,32767,32767,-66,32767,-232
136620670,32767,32767,32767,32767,32767,32767,32767
136624693,32767,32767,32767,32767,32767,-72,-212
136628669,32767,32767,32767,32767,-68,32767,32767
136632688,32767,32767,32767,32767,32767,32767,32767
136636676,32767,32767,32767,32767,32767,32767,-232
136640670,32767,32767,32767,32767,32767,-40,32767
136644716,32767,32767,32767,32767,32767,32767,32767
136648670,32767,32767,32767,32767,-56,32767,-253
136652684,32767,32767,32767,32767,32767,-64,32767
136656676,32767,32767,32767,32767,32767,32767,-233
136660713,32767,32767,32767,32767,-60,-41,32767
136664673,32767,32767,32767,32767,32767,32767,-212
136668670,32767,32767,32767,32767,32767,32767,32767
136672678,32767,32767,32767,32767,-69,-64,-193
136676677,32767,32767,32767,32767,32767,32767,32767
136680670,32767,32767,32767,32767,32767,-40,32767
136684670,32767,32767,32767,32767,32767,32767,-213
136688693,32767,32767,32767,32767,32767,32767,32767
136692690,32767,32767,32767,32767,-56,-71,32767
