timestamp,voltage5v_v,voltage3v3_v,v3v3_valid,usb_connected,brick_valid,usb_valid,servo_valid,periph_5v_oc,hipower_5v_oc
153384206,4.9838376,0.0,0,0,1,0,0,0,0
153884207,4.990283,0.0,0,0,1,0,0,0,0
154384237,4.9838376,0.0,0,0,1,0,0,0,0
154884173,4.988672,0.0,0,0,1,0,0,0,0
155384176,4.988672,0.0,0,0,1,0,0,0,0
155894164,4.9918942,0.0,0,0,1,0,0,0,0
156394163,4.9580564,0.0,0,0,1,0,0,0,0
156894163,4.993506,0.0,0,0,1,0,0,0,0
157394171,4.9918942,0.0,0,0,1,0,0,0,0
157894166,4.979004,0.0,0,0,1,0,0,0,0
158394181,4.9628906,0.0,0,0,1,0,0,0,0
158894163,4.975781,0.0,0,0,1,0,0,0,0
159394165,4.9709473,0.0,0,0,1,0,0,0,0
159894183,4.993506,0.0,0,0,1,0,0,0,0
160394163,4.988672,0.0,0,0,1,0,0,0,0
160894188,4.975781,0.0,0,0,1,0,0,0,0
161394163,4.9628906,0.0,0,0,1,0,0,0,0
161904199,4.988672,0.0,0,0,1,0,0,0,0
162404200,4.993506,0.0,0,0,1,0,0,0,0
162904162,4.980615,0.0,0,0,1,0,0,0,0
163404204,4.993506,0.0,0,0,1,0,0,0,0
163904199,4.9822264,0.0,0,0,1,0,0,0,0
164404198,4.9773927,0.0,0,0,1,0,0,0,0
164904227,4.993506,0.0,0,0,1,0,0,0,0
165414164,4.993506,0.0,0,0,1,0,0,0,0
165914163,4.9918942,0.0,0,0,1,0,0,0,0
166414168,4.9709473,0.0,0,0,1,0,0,0,0
166914163,4.9773927,0.0,0,0,1,0,0,0,0
167414163,4.9854493,0.0,0,0,1,0,0,0,0
167914163,4.9822264,0.0,0,0,1,0,0,0,0
