timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
188690477,0,0.0,0.0,0.38303658,0.45603007,-0.7312048,0.26472634,0.68447477,-0.254872,0.25602436,0.13826324,-0.1105941,-0.11407073,-0.0020145755,-0.0010988325,0.0014978752,-0.114114575,-0.9910197,0.77086884,-3.0488908,0.0,0.79485935,0.1105941,0.0051371623,0.0035425895,0.025798319,0.017249737,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188794470,0,0.0,0.0,0.4050136,0.4745163,-0.7438813,0.26472634,0.68447477,-0.254872,0.25767392,0.15173398,-0.103658974,-0.107306965,-0.0020145755,-0.0010988325,0.0014978752,-1.6444094,-3.7679718,0.75088525,-3.0534468,0.0,0.8075358,0.103658974,0.0052156425,0.0035941487,0.025970161,0.017357452,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
188898470,0,0.0,0.0,0.42767417,0.4938998,-0.7535805,0.26472634,0.68447477,-0.254872,0.2501073,0.15854502,-0.0748117,-0.07808371,-0.0020145755,-0.0010988325,0.0014978752,-1.5274516,-1.7495493,-0.108136036,-3.060174,0.0,0.81723505,0.0748117,0.0052819527,0.0036381274,0.026112644,0.017453987,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189002470,0,0.0,0.0,0.45018885,0.5118931,-0.75948393,0.26472634,0.68447477,-0.254872,0.23400925,0.16320865,-0.04873154,-0.050665177,-0.0020145755,-0.0010988325,0.0014978752,-2.3304415,1.5365177,0.7862335,-3.067935,0.0,0.8231385,0.04873154,0.0053423927,0.0036787726,0.026233856,0.017546624,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189098497,0,0.0,0.0,0.47012714,0.5276756,-0.762247,0.26472634,0.68447477,-0.254872,0.2137695,0.16391046,-0.035022583,-0.034846384,-0.0020145755,-0.0010988325,0.0014978752,1.5313517,-1.3473155,1.9843662,-3.0742118,0.0,0.82590157,0.035022583,0.0052663786,0.003630324,0.02603187,0.017444035,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189202478,0,0.0,0.0,0.49009213,0.5420627,-0.76328474,0.26472634,0.68447477,-0.254872,0.19372538,0.13790564,-0.037529055,-0.03488294,-0.0020145755,-0.0010988325,0.0014978752,2.9433305,2.0630326,-1.8846489,-3.0839448,0.0,0.8269393,0.037529055,0.005333647,0.0036758308,0.026202628,0.01755075,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189306469,0,0.0,0.0,0.5083316,0.5533865,-0.7638028,0.26472634,0.68447477,-0.254872,0.1657175,0.11364822,-0.022941317,-0.018449383,-0.0020145755,-0.0010988325,0.0014978752,0.743133,0.46004122,0.94291383,-3.097341,0.0,0.82745737,0.022941317,0.0054296767,0.0037388206,0.026480839,0.01771233,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189402470,0,0.0,0.0,0.5220911,0.5596409,-0.76358956,0.26472634,0.68447477,-0.254872,0.14033438,0.07126006,-0.017021168,-0.01174152,-0.0020145755,-0.0010988325,0.0014978752,2.5522797,1.040581,0.06653588,-3.110979,0.0,0.8272441,0.017021168,0.00534017,0.003680397,0.026249697,0.017554803,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189506471,0,0.0,0.0,0.5332098,0.56176335,-0.7632791,0.26472634,0.68447477,-0.254872,0.11111344,0.040811654,-0.009401005,-0.004069516,-0.0020145755,-0.0010988325,0.0014978752,0.43818387,0.313306,-0.015197733,-3.1255028,0.0,0.8269336,0.009401005,0.005438045,0.0037431894,0.026536027,0.017729593,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189609680,0,0.0,0.0,0.5399297,0.5591627,-0.76334774,0.26472634,0.68447477,-0.254872,0.06650773,-0.00047764194,-0.0004936017,0.004380145,-0.0020145755,-0.0010988325,0.0014978752,0.028830793,-2.9189749,1.4482256,-3.1391573,0.0,0.8270023,0.0004936017,0.0051259613,0.0035388202,0.025689756,0.017215239,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189705670,0,0.0,0.0,0.5415243,0.5527228,-0.763447,0.26472634,0.68447477,-0.254872,0.034231316,-0.026093893,-0.013728919,-0.009531653,-0.0020145755,-0.0010988325,0.0014978752,2.3135278,-0.86673725,-0.46631595,3.1317465,0.0,0.8271015,0.013728919,0.005405706,0.0037218414,0.026432067,0.017655512,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189809677,0,0.0,0.0,0.53991,0.54204535,-0.76586014,0.26472634,0.68447477,-0.254872,0.0067602964,-0.04115253,-0.03410124,-0.03081138,-0.0020145755,-0.0010988325,0.0014978752,-0.62961257,0.58975947,-1.1580226,3.1236782,0.0,0.8295147,0.03410124,0.005471182,0.003764021,0.02659008,0.017751304,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
189913669,0,0.0,0.0,0.53682125,0.52869236,-0.77012163,0.26472634,0.68447477,-0.254872,-0.014567371,-0.06856668,-0.024563441,-0.022732247,-0.0020145755,-0.0010988325,0.0014978752,-1.4328098,-0.5919089,0.13314372,3.1210139,0.0,0.8337762,0.024563441,0.00518767,0.0035771844,0.025963498,0.017356059,inf,inf,inf,inf,1,1,1,1,2,1,2,3,0,0,0
